ari.lak.simdata1,ari.sc3.simdata1,ari.lak.simdata2,ari.sc3.simdata2,ari.lak.simdata3,ari.sc3.simdata3,ari.lak.simdata4,ari.sc3.simdata4
0.869409171,0.996201744,0.88615205,0.877397848,0.95236929,0.995336761,0.79412075,0.997391686
0.869409171,0.977398245,0.887384006,0.871979149,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.999314031,0.887384006,0.869903818,0.95236929,0.886027337,0.879890113,0.997391686
0.869409171,0.930935574,0.89187968,0.872712631,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.974205206,0.890449546,0.994566383,0.95236929,0.996883388,0.79412075,0.988327442
0.869409171,0.999314031,0.888379814,0.875516352,0.95236929,0.999217939,0.79412075,0.996400514
0.869409171,0.952090528,0.887384006,0.998474798,0.896816272,0.999217939,0.79412075,0.997391686
0.869409171,0.995448009,0.887384006,0.998474798,0.896816272,0.999217939,0.879890113,0.996481721
0.869409171,0.973086837,0.890803186,0.872411065,0.95236929,0.998437813,0.879890113,0.99390097
0.869409171,0.936693629,0.888379814,0.874937792,0.896816272,0.993797967,0.879890113,0.996625451
0.869409171,0.996957456,0.89187968,0.877620374,0.95236929,0.993797967,0.879890113,0.997391686
0.869409171,0.971224292,0.888720372,0.994566383,0.95236929,0.996883388,0.879890113,0.996170452
0.869409171,0.935523435,0.89187968,0.873682616,0.95236929,0.998437813,0.879890113,0.997391686
0.869409171,0.95533787,0.888720372,0.998474798,0.896816272,0.999217939,0.879890113,0.997391686
0.869409171,0.988020418,0.88615205,0.869266236,0.95236929,0.996109098,0.79412075,0.997391686
0.869409171,0.994696258,0.888720372,0.868441281,0.896816272,0.998437813,0.879890113,0.996625451
0.869409171,0.997715142,0.888379814,0.868408272,0.896816272,0.998437813,0.879890113,0.991317037
0.869409171,0.966969813,0.883330925,0.998474798,0.896816272,0.999217939,0.879890113,0.997391686
0.869409171,0.991709162,0.887384006,0.874565617,0.95236929,0.995336761,0.879890113,0.997391686
0.869409171,0.975164035,0.888720372,0.87420428,0.896816272,0.994566383,0.879890113,0.996170452
0.869409171,0.975860643,0.88773019,0.868903325,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.943293958,0.89187968,0.999236419,0.95236929,0.999217939,0.879890113,0.996400514
0.869409171,0.995448009,0.88615205,0.868428903,0.95236929,0.998437813,0.879890113,0.986106355
0.869814522,0.971712599,0.89187968,0.873025083,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.999314031,0.89187968,0.998474798,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.994696258,0.888379814,0.995336761,0.95236929,0.999217939,0.79412075,0.997391686
0.869409171,0.939061689,0.88615205,0.871840629,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.977260145,0.890449546,0.996109098,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.999314031,0.890803186,0.889710453,0.95236929,0.992267041,0.879890113,0.997391686
0.869814522,0.961026939,0.888720372,0.878537354,0.95236929,0.995336761,0.79412075,0.997391686
0.869409171,0.976559347,0.89187968,0.876746417,0.896816272,0.999217939,0.879890113,0.997391686
0.869409171,0.968314204,0.888720372,0.869134281,0.95236929,0.999217939,0.791607215,0.997391686
0.869013309,0.996957456,0.879011946,0.87018815,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.993946493,0.887384006,0.87018815,0.95236929,0.993797967,0.879890113,0.994338545
0.869409171,0.941466448,0.89187968,0.998474798,0.95236929,0.996109098,0.879890113,0.997391686
0.869409171,0.977260145,0.879011946,0.872120396,0.95236929,0.88348962,0.79412075,0.997391686
0.869814522,0.999314031,0.887384006,0.996109098,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.999314031,0.885236736,0.868544431,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.993946493,0.885236736,0.868518301,0.896816272,0.995336761,0.879890113,0.994132227
0.868518301,0.973777128,0.888720372,0.997715142,0.95236929,0.999217939,0.879890113,0.996625451
0.869409171,0.999314031,0.890449546,0.995336761,0.896816272,0.999217939,0.879890113,0.996625451
0.869409171,0.948898532,0.890803186,0.868639321,0.95236929,0.996109098,0.791607215,0.997391686
0.869409171,0.983660816,0.887384006,0.875915576,0.95236929,0.999217939,0.879890113,0.997391686
0.869409171,0.979709625,0.887384006,0.875915576,0.896816272,0.999217939,0.879890113,0.997391686
0.869409171,0.926497741,0.890449546,0.998474798,0.95236929,0.999217939,0.879890113,0.98027286
0.869409171,0.999314031,0.890803186,0.871441439,0.95236929,0.993031518,0.879890113,0.997391686
0.869409171,0.993198719,0.89187968,0.994566383,0.896816272,0.999217939,0.879890113,0.996481721
